ID,comid,main,hydroseq,outlet_comid,gages
3990,1698528,5461,150024570,1698794,
4387,24894830,6035,150024865,24894830,
4273,1737890,5890,150027148,1737890,
3572,1737266,4805,150027158,1736726,
4275,1737164,5894,150027159,1737164,
3517,1736984,4764,150027161,1736952,
3949,1736874,5386,150027163,1736874,
4265,1736870,5882,150027164,1736870,
5027,1736858,6930,150027165,1736858,
4242,1736832,5850,150027166,1736832,
4734,1736198,6490,150027173,1736198,
4177,1736194,5734,150027174,1736178,
4084,1736016,5609,150027179,1736990,
4071,1736014,5587,150027180,1743094,
4079,1735932,5605,150027182,1743084,
4004,1735896,5497,150027183,1736864,
3651,1735860,4957,150027184,1736848,
3533,1735796,4778,150027185,1735784,
4280,1735722,5896,150027186,1735722,
3995,1735672,5479,150027187,1736724,
4244,1735570,5854,150027188,1735570,
4253,1734044,5864,150027196,1734044,
3799,1733800,5169,150027200,1733800,
3920,1733716,5312,150027201,1733740,
4256,1733684,5867,150027202,1733684,
3957,1733478,5409,150027205,1733478,
4156,1732156,5714,150027224,1732134,
4159,1731308,5718,150027230,1731306,
4164,1731132,5720,150027231,1731404,
3656,1731088,4961,150027232,1731098,
4357,1713458,6000,150027311,1713458,
3944,1703584,5372,150027350,1703584,
4221,1703420,5827,150027352,1703628,
4064,1702794,5573,150027358,1701912,
4383,1702780,6031,150027359,1702780,
4410,1702700,6062,150027361,1702700,
4389,1702558,6036,150027365,1702558,
4055,1702550,5566,150027366,1701572,
4392,1702512,6040,150027368,1702512,
4398,1702508,6044,150027369,1702508,
4218,1702422,5817,150027370,1701760,
4068,1702362,5583,150027373,1702378,
3734,1702304,5070,150027376,1702304,
4143,1702298,5693,150027377,1702298,
3906,1702236,5287,150027379,1702238,
3909,1701846,5295,150027384,1702552,
4224,1701824,5831,150027385,1702642,
4060,1701754,5572,150027386,1702518,
4058,1701730,5571,150027387,24894808,
3985,1701668,5460,150027388,1701692,
4238,1701478,5846,150027390,1701508,
4233,1701462,5844,150027392,1702398,
